chembl_id,drug_name,SMILES,from_protein,from_pathway,from_moa,protein_row_indices,pathway_row_indices,moa_row_indices,phase,status,gene_symbols,pathways,pathway_ids,mechanisms,disease_ids,disease_names,support_sources_count,n_genes,n_pathways,n_moas
CHEMBL1040,CALCIFEDIOL ANHYDROUS,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,True,True,False,246,5999;7776;7894,,3.0,Completed,VDR,Nuclear Receptor transcription pathway;SUMOylation of intracellular receptors;Vitamin D (calciferol) metabolism,R-HSA-196791;R-HSA-383280;R-HSA-4090294,,EFO_0000612,myocardial infarction,2,1,3,0
CHEMBL1042,CHOLECALCIFEROL,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,True,True,True,240,5993;7770;7888,7,4.0,Recruiting,VDR,Nuclear Receptor transcription pathway;SUMOylation of intracellular receptors;Vitamin D (calciferol) metabolism,R-HSA-196791;R-HSA-383280;R-HSA-4090294,Vitamin D receptor agonist,EFO_0003882,osteoporosis,3,1,3,1
CHEMBL1046,AMINOCAPROIC ACID,NCCCCCC(=O)O,True,True,True,683,76;107;134;457,723,4.0,Unknown status,PLG,Activation of Matrix Metalloproteinases;Degradation of the extracellular matrix;Platelet degranulation;Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),R-HSA-114608;R-HSA-1474228;R-HSA-1592389;R-HSA-381426,Plasminogen inhibitor,MP_0001914,hemorrhage,3,1,4,1
CHEMBL105060,DNK333,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1,False,False,True,,,529,,,,,,Neurokinin 1 receptor antagonist,,,1,0,0,1
CHEMBL1059,PREGABALIN,CC(C)C[C@H](CN)CC(=O)O,True,False,False,2491,,,4.0,Completed,CACNA2D1,,,,EFO_0000474,epilepsy,1,1,0,0
CHEMBL1064,SIMVASTATIN,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,True,True,True,735,7614;7629;7644;7659,44,4.0,,HMGCR,Activation of gene expression by SREBF (SREBP);Cholesterol biosynthesis;EGR2 and SOX10-mediated initiation of Schwann cell myelination;PPARA activates gene expression,R-HSA-191273;R-HSA-1989781;R-HSA-2426168;R-HSA-9619665,HMG-CoA reductase inhibitor,EFO_0000319,cardiovascular disease,3,1,4,1
CHEMBL1069,VALSARTAN,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,True,True,True,578,6532;7151;7262;7282,8,4.0,,AGTR1,Cargo recognition for clathrin-mediated endocytosis;Clathrin-mediated endocytosis;G alpha (q) signalling events;Peptide ligand-binding receptors,R-HSA-375276;R-HSA-416476;R-HSA-8856825;R-HSA-8856828,Type-1 angiotensin II receptor antagonist,EFO_0000319,cardiovascular disease,3,1,4,1
CHEMBL107,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,True,True,True,821;1554;1989;2228;2333;2397;2704;2768;2832,1534;1598;1662;1726;1790;1854;1918;2083;2147;2211;2275;2339;2403;2467;2531;2595;2659;2723;2787;2851;2915;2979;3049;3113;3177;3241;3305;3369;3433;3497;3561;3652;3716;3780;3844;3908;3972;4039,39,4.0,Completed;Recruiting,TUBB;TUBB1;TUBB2A;TUBB2B;TUBB3;TUBB4A;TUBB4B;TUBB6;TUBB8,AURKA Activation by TPX2;Activation of AMPK downstream of NMDARs;Aggrephagy;Anchoring of the basal body to the plasma membrane;Assembly and cell surface presentation of NMDA receptors;COPI-dependent Golgi-to-ER retrograde traffic;COPI-independent Golgi-to-ER retrograde traffic;COPI-mediated anterograde transport;Carboxyterminal post-translational modifications of tubulin;Cilium Assembly;EML4 and NUDC in mitotic spindle formation;Formation of tubulin folding intermediates by CCT/TriC;Gap junction assembly;HCMV Early Events;HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;Hedgehog 'off' state;Intraflagellar transport;Kinesins;Loss of Nlp from mitotic centrosomes;Loss of proteins required for interphase microtubule organization from the centrosome;MHC class II antigen presentation;Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane;Mitotic Prometaphase;Neutrophil degranulation;PKR-mediated signaling;Post-chaperonin tubulin folding pathway;Prefoldin mediated transfer of substrate to CCT/TriC;RHO GTPases Activate Formins;RHO GTPases activate IQGAPs;Recruitment of NuMA to mitotic centrosomes;Recruitment of mitotic centrosome proteins and complexes;Recycling pathway of L1;Regulation of PLK1 Activity at G2/M Transition;Resolution of Sister Chromatid Cohesion;Sealing of the nuclear envelope (NE) by ESCRT-III;Separation of Sister Chromatids;The role of GTSE1 in G2/M progression after G2 checkpoint;Translocation of SLC2A4 (GLUT4) to the plasma membrane,R-HSA-1445148;R-HSA-190840;R-HSA-190861;R-HSA-2132295;R-HSA-2467813;R-HSA-2500257;R-HSA-2565942;R-HSA-3371497;R-HSA-380259;R-HSA-380270;R-HSA-380284;R-HSA-380320;R-HSA-389957;R-HSA-389960;R-HSA-389977;R-HSA-437239;R-HSA-5610787;R-HSA-5617833;R-HSA-5620912;R-HSA-5620924;R-HSA-5626467;R-HSA-5663220;R-HSA-6798695;R-HSA-6807878;R-HSA-6811434;R-HSA-6811436;R-HSA-68877;R-HSA-8852276;R-HSA-8854518;R-HSA-8955332;R-HSA-9609690;R-HSA-9609736;R-HSA-9619483;R-HSA-9646399;R-HSA-9648025;R-HSA-9668328;R-HSA-983189;R-HSA-9833482,Tubulin inhibitor,EFO_0004274,gout,3,9,38,1
CHEMBL1070,NABUMETONE,COc1ccc2cc(CCC(C)=O)ccc2c1,True,True,False,97,320;4438;5647;6031;6105;6179;6253;6327;6401,,4.0,,PTGS2,Biosynthesis of DHA-derived SPMs;Biosynthesis of DPAn-3 SPMs;Biosynthesis of EPA-derived SPMs;Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives;Interleukin-10 signaling;Interleukin-4 and Interleukin-13 signaling;Nicotinamide salvaging;Synthesis of 15-eicosatetraenoic acid derivatives;Synthesis of Prostaglandins (PG) and Thromboxanes (TX),R-HSA-2142770;R-HSA-2162123;R-HSA-6783783;R-HSA-6785807;R-HSA-73614;R-HSA-9018677;R-HSA-9018679;R-HSA-9025094;R-HSA-9027604,,EFO_0000685,rheumatoid arthritis,2,1,9,0
CHEMBL1071,OXAPROZIN,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,True,True,True,107;894,330;4448;5534;5594;5657;6041;6115;6189;6263;6337;6411,151,4.0,,PTGS1;PTGS2,Biosynthesis of DHA-derived SPMs;Biosynthesis of DPAn-3 SPMs;Biosynthesis of EPA-derived SPMs;Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives;COX reactions;Interleukin-10 signaling;Interleukin-4 and Interleukin-13 signaling;Nicotinamide salvaging;Synthesis of 15-eicosatetraenoic acid derivatives;Synthesis of Prostaglandins (PG) and Thromboxanes (TX),R-HSA-140180;R-HSA-2142770;R-HSA-2162123;R-HSA-6783783;R-HSA-6785807;R-HSA-73614;R-HSA-9018677;R-HSA-9018679;R-HSA-9025094;R-HSA-9027604,Cyclooxygenase inhibitor,EFO_0000685,rheumatoid arthritis,3,2,10,1
CHEMBL107430,NRX195183,CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,True,False,False,1769,,,2.0,Withdrawn,RARA,,,,EFO_0000224,acute promyelocytic leukemia,1,1,0,0
CHEMBL1076263,SETROBUVIR,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3N(Cc3ccc(F)cc3)C1=O)N2,False,False,True,,,430,,,,,,RNA-directed RNA polymerase inhibitor,,,1,0,0,1
CHEMBL1076903,VARENICLINE,c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1,True,True,False,435;2131,7915;7929;7943,,4.0,Terminated,CHRNA4;CHRNB2,Highly calcium permeable nicotinic acetylcholine receptors;Highly calcium permeable postsynaptic nicotinic acetylcholine receptors;Highly sodium permeable postsynaptic acetylcholine nicotinic receptors,R-HSA-629587;R-HSA-629594;R-HSA-629597,,EFO_0003768,nicotine dependence,2,2,3,0
CHEMBL1077,BROMFENAC,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,True,True,False,123;908,346;4464;5548;5608;5673;6057;6131;6205;6279;6353;6427,,4.0,,PTGS1;PTGS2,Biosynthesis of DHA-derived SPMs;Biosynthesis of DPAn-3 SPMs;Biosynthesis of EPA-derived SPMs;Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives;COX reactions;Interleukin-10 signaling;Interleukin-4 and Interleukin-13 signaling;Nicotinamide salvaging;Synthesis of 15-eicosatetraenoic acid derivatives;Synthesis of Prostaglandins (PG) and Thromboxanes (TX),R-HSA-140180;R-HSA-2142770;R-HSA-2162123;R-HSA-6783783;R-HSA-6785807;R-HSA-73614;R-HSA-9018677;R-HSA-9018679;R-HSA-9025094;R-HSA-9027604,,EFO_0005752,eye inflammation,2,2,10,0
CHEMBL1078178,MOMELOTINIB,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,True,True,True,768;792,193;217;655;679;4245;4424;4565;4589;4644;4668;4723;4747;4792;4830;4854;4899;4923;4965;4989;5031;5055;5099;5141;5165;5219;5269;5307;5331;5373;5397;5467;6920;6944;7478;8307;8335;8363;8397;8425;8453,476,3.0,Completed,JAK1;JAK2,"Evasion by RSV of host interferon responses;IL-6-type cytokine receptor ligand interactions;Inactivation of CSF3 (G-CSF) signaling;Interferon alpha/beta signaling;Interleukin-10 signaling;Interleukin-12 signaling;Interleukin-20 family signaling;Interleukin-23 signaling;Interleukin-27 signaling;Interleukin-3, Interleukin-5 and GM-CSF signaling;Interleukin-35 Signalling;Interleukin-4 and Interleukin-13 signaling;Interleukin-6 signaling;MAPK1 (ERK2) activation;MAPK3 (ERK1) activation;Other interleukin signaling;Potential therapeutics for SARS;Prolactin receptor signaling;RAF activation;RAF/MAP kinase cascade;RMTs methylate histone arginines;Regulation of IFNA/IFNB signaling;SARS-CoV-2 activates/modulates innate and adaptive immune responses;Signaling by CSF3 (G-CSF);Signaling by Leptin;Signaling by SCF-KIT;Signaling by moderate kinase activity BRAF mutants",R-HSA-1059683;R-HSA-110056;R-HSA-112411;R-HSA-1170546;R-HSA-1433557;R-HSA-2586552;R-HSA-3214858;R-HSA-449836;R-HSA-512988;R-HSA-5673000;R-HSA-5673001;R-HSA-6783783;R-HSA-6785807;R-HSA-6788467;R-HSA-6802946;R-HSA-8854691;R-HSA-8984722;R-HSA-9020591;R-HSA-9020933;R-HSA-9020956;R-HSA-909733;R-HSA-912694;R-HSA-9674555;R-HSA-9679191;R-HSA-9705462;R-HSA-9705671;R-HSA-9833109,Tyrosine-protein kinase JAK1 inhibitor | Tyrosine-protein kinase JAK2 inhibitor,EFO_0002430,primary myelofibrosis,3,2,27,1
CHEMBL1079,TIZANIDINE,Clc1ccc2nsnc2c1NC1=NCCN1,True,True,False,1347;1398;2545,918;969;1022;1073;1126;1178;1229;1410;1461;1514,,3.0,Completed,ADRA2A;ADRA2B;ADRA2C,"Adrenaline signalling through Alpha-2 adrenergic receptor;Adrenaline,noradrenaline inhibits insulin secretion;Adrenoceptors;G alpha (i) signalling events;G alpha (z) signalling events;Surfactant metabolism",R-HSA-390696;R-HSA-392023;R-HSA-400042;R-HSA-418594;R-HSA-418597;R-HSA-5683826,,HP_0003419,Low back pain,2,3,6,0
CHEMBL1082407,ENZALUTAMIDE,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,True,True,True,543,1966;5881;7785,79,4.0,Unknown status,AR,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;Nuclear Receptor transcription pathway;SUMOylation of intracellular receptors,R-HSA-3371497;R-HSA-383280;R-HSA-4090294,Androgen Receptor antagonist,EFO_0000196,metastatic prostate cancer,3,1,3,1
CHEMBL1082462,DBPR-108,CC(C)(CC(=O)N1CCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,True,False,True,674,,535,3.0,Completed,DPP4,,,Dipeptidyl peptidase IV inhibitor,MONDO_0005148,type 2 diabetes mellitus,2,1,0,1
CHEMBL1083385,CLOPIDOGREL BISULFATE,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O,True,True,False,464,1349,,4.0,,P2RY12,G alpha (i) signalling events,R-HSA-418594,,EFO_0000556,ischemia,2,1,1,0
CHEMBL1088750,ARRY-797,CC(C)Cn1ncc2cc(Oc3ccc(F)cc3F)c(C(=O)NCCN(C)C)cc21,False,False,True,,,92,,,,,,MAP kinase p38 alpha inhibitor,,,1,0,0,1
CHEMBL1088751,PH-797804,CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1,False,False,True,,,109,,,,,,MAP kinase p38 alpha inhibitor,,,1,0,0,1
CHEMBL1088752,LOSMAPIMOD,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,False,False,True,,,110,,,,,,MAP kinase p38 alpha inhibitor | MAP kinase p38 beta inhibitor,,,1,0,0,1
CHEMBL1089636,ANG1005,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)CCC(=O)NCCCC[C@H](NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)CNC(=O)CNC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](NC(=O)CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CCCCNC(=O)CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc4ccc(O)cc4)C(=O)O)[C@@H](C)O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,True,True,False,838;1573;2008;2244;2349;2413;2724;2784;2848,1551;1615;1679;1743;1807;1871;1935;2100;2164;2228;2292;2356;2420;2484;2548;2612;2676;2740;2804;2868;2932;2996;3066;3130;3194;3258;3322;3386;3450;3514;3578;3669;3733;3797;3861;3925;3989;4056,,2.0,Completed,TUBB;TUBB1;TUBB2A;TUBB2B;TUBB3;TUBB4A;TUBB4B;TUBB6;TUBB8,AURKA Activation by TPX2;Activation of AMPK downstream of NMDARs;Aggrephagy;Anchoring of the basal body to the plasma membrane;Assembly and cell surface presentation of NMDA receptors;COPI-dependent Golgi-to-ER retrograde traffic;COPI-independent Golgi-to-ER retrograde traffic;COPI-mediated anterograde transport;Carboxyterminal post-translational modifications of tubulin;Cilium Assembly;EML4 and NUDC in mitotic spindle formation;Formation of tubulin folding intermediates by CCT/TriC;Gap junction assembly;HCMV Early Events;HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;Hedgehog 'off' state;Intraflagellar transport;Kinesins;Loss of Nlp from mitotic centrosomes;Loss of proteins required for interphase microtubule organization from the centrosome;MHC class II antigen presentation;Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane;Mitotic Prometaphase;Neutrophil degranulation;PKR-mediated signaling;Post-chaperonin tubulin folding pathway;Prefoldin mediated transfer of substrate to CCT/TriC;RHO GTPases Activate Formins;RHO GTPases activate IQGAPs;Recruitment of NuMA to mitotic centrosomes;Recruitment of mitotic centrosome proteins and complexes;Recycling pathway of L1;Regulation of PLK1 Activity at G2/M Transition;Resolution of Sister Chromatid Cohesion;Sealing of the nuclear envelope (NE) by ESCRT-III;Separation of Sister Chromatids;The role of GTSE1 in G2/M progression after G2 checkpoint;Translocation of SLC2A4 (GLUT4) to the plasma membrane,R-HSA-1445148;R-HSA-190840;R-HSA-190861;R-HSA-2132295;R-HSA-2467813;R-HSA-2500257;R-HSA-2565942;R-HSA-3371497;R-HSA-380259;R-HSA-380270;R-HSA-380284;R-HSA-380320;R-HSA-389957;R-HSA-389960;R-HSA-389977;R-HSA-437239;R-HSA-5610787;R-HSA-5617833;R-HSA-5620912;R-HSA-5620924;R-HSA-5626467;R-HSA-5663220;R-HSA-6798695;R-HSA-6807878;R-HSA-6811434;R-HSA-6811436;R-HSA-68877;R-HSA-8852276;R-HSA-8854518;R-HSA-8955332;R-HSA-9609690;R-HSA-9609736;R-HSA-9619483;R-HSA-9646399;R-HSA-9648025;R-HSA-9668328;R-HSA-983189;R-HSA-9833482,,EFO_0000519,glioblastoma multiforme,2,9,38,0
CHEMBL1090089,PAMAPIMOD,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21,False,False,True,,,107,,,,,,MAP kinase p38 alpha inhibitor,,,1,0,0,1
CHEMBL1090090,VX-702,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,False,False,True,,,108,,,,,,MAP kinase p38 alpha inhibitor,,,1,0,0,1
CHEMBL1090173,SD-0006,O=C(CO)N1CCC(c2n[nH]c(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1,False,False,True,,,93,,,,,,MAP kinase p38 alpha inhibitor,,,1,0,0,1
CHEMBL1091,HYDROCORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,True,True,True,21,713;2022;5937;7841;7978;8044;8115;8181;8247,199,4.0,,NR3C1,"Circadian Clock;FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes;HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand;Nuclear Receptor transcription pathway;PTK6 Expression;Potential therapeutics for SARS;Regulation of NPAS4 gene transcription;Regulation of RUNX2 expression and activity;SUMOylation of intracellular receptors",R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-8849473;R-HSA-8939902;R-HSA-9615017;R-HSA-9679191;R-HSA-9768777,Glucocorticoid receptor agonist,EFO_0000701,skin disease,3,1,9,1
CHEMBL1092581,NESBUVIR,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(CCO)S(C)(=O)=O)c(C3CC3)cc12,False,False,True,,,431,,,,,,RNA-directed RNA polymerase inhibitor,,,1,0,0,1
